Date,Type,ParentCategory,SubCategory,Amount,Account,Note,Status
2024年07月18日 11:01:00,收入,内部流转,退款,989.6,建行1977,戒指返现,待确认-退款
2024年11月01日 15:58:00,支出,购物,日用,15.0,微信余额,通行证,auto
2024年11月01日 17:49:00,支出,餐饮,饮料,25.0,微信余额,,auto
2024年11月05日 08:30:00,支出,餐饮,吃饭,7.2,微信余额,,auto
2024年11月05日 12:56:00,支出,餐饮,饮料,20.5,微信余额,,auto
2024年11月06日 11:03:10,支出,购物,数码,47.53,建行2109,手机膜,auto
2024年11月06日 12:37:00,支出,餐饮,吃饭,56.0,微信余额,,auto
2024年11月06日 14:33:29,收入,投资,投资收益,72.8,广发证券,卖出江淮汽车,auto
2024年11月07日 08:05:09,支出,住房,房贷,1400.34,建行2109,房贷公积金,auto
2024年11月07日 08:05:45,支出,住房,房贷,4569.24,建行2109,房贷,auto
2024年11月07日 08:44:55,支出,餐饮,吃饭,27.3,微信余额,,auto
2024年11月07日 21:53:28,支出,购物,旅游购物,30.0,微信余额,,auto
2024年11月08日 08:20:46,支出,餐饮,吃饭,10.5,微信余额,,auto
2024年11月08日 15:44:16,支出,餐饮,饮料,38.0,微信余额,西西弗里,auto
2024年11月12日 08:07:21,支出,餐饮,吃饭,9.6,微信余额,,auto
2024年11月13日 08:29:25,支出,餐饮,吃饭,14.7,微信余额,,auto
2024年11月13日 09:32:14,支出,投资,投资亏损,96.0,广发证券,江淮汽车,auto
2024年11月13日 09:32:38,支出,投资,投资亏损,313.0,广发证券,立迅,auto
2024年11月13日 09:33:10,支出,投资,投资亏损,36.0,广发证券,安妮股份,auto
2024年11月13日 09:59:30,支出,订阅,通讯,100.0,建行1977,4308,auto
2024年11月14日 12:25:00,支出,餐饮,吃饭,20.0,微信余额,,auto
2024年11月14日 20:25:00,支出,餐饮,饮料,16.5,建行1977,,auto
2024年11月15日 08:31:03,支出,餐饮,吃饭,10.8,微信余额,,auto
2024年11月15日 18:47:49,支出,餐饮,饮料,62.5,建行1977,,auto
2024年11月15日 21:37:33,支出,娱乐,网吧,50.0,建行1977,,auto
2024年11月17日 10:49:00,支出,娱乐,电影,88.0,建行1977,,auto
2024年11月18日 10:49:05,支出,餐饮,吃饭,12.0,微信余额,,auto
2024年11月18日 12:23:54,支出,餐饮,吃饭,16.0,微信余额,,auto
2024年11月18日 18:05:25,收入,工作,工资,378.0,建行1977,,auto
2024年11月19日 08:27:40,支出,餐饮,吃饭,9.6,微信余额,,auto
2024年11月19日 10:37:08,支出,投资,投资亏损,692.0,广发证券,江淮,auto
2024年11月19日 17:01:06,收入,工作,绩效,11497.0,建行1977,,auto
2024年11月20日 14:01:12,支出,餐饮,吃饭,9.6,微信余额,,auto
2024年11月21日 14:17:10,收入,其他,二手,1441.99,建行1977,卖出MacBook2018,auto
2024年11月22日 08:54:36,支出,餐饮,吃饭,11.7,微信余额,,auto
2024年11月22日 12:28:41,支出,餐饮,吃饭,17.0,微信余额,,auto
2024年11月23日 09:22:57,支出,餐饮,吃饭,9.6,微信余额,,auto
2024年11月23日 11:48:34,支出,娱乐,网吧,30.0,微信余额,,auto
2024年11月23日 11:48:53,支出,娱乐,网吧,14.0,微信余额,,auto
2024年11月23日 20:20:46,支出,餐饮,吃饭,24.0,微信余额,,auto
2024年11月23日 20:21:10,支出,娱乐,网吧,30.6,微信余额,,auto
2024年11月23日 20:21:18,支出,娱乐,网吧,5.0,微信余额,,auto
2024年11月25日 08:29:49,支出,餐饮,吃饭,12.0,微信余额,,auto
2024年11月25日 16:30:55,支出,餐饮,吃饭,17.0,微信余额,,auto
2024年11月25日 16:31:04,支出,餐饮,饮料,16.5,建行1977,,auto
2024年11月26日 08:19:44,支出,餐饮,吃饭,12.0,微信余额,,auto
2024年11月26日 12:32:25,支出,餐饮,吃饭,9.0,微信余额,,auto
2024年11月26日 20:51:11,支出,餐饮,饮料,19.5,建行1977,,auto
2024年11月27日 08:27:10,支出,餐饮,吃饭,15.6,微信余额,,auto
2024年11月27日 12:47:53,支出,餐饮,吃饭,17.0,微信余额,,auto
2024年11月27日 13:02:50,支出,餐饮,饮料,16.5,建行1977,,auto
2024年11月27日 13:29:59,支出,餐饮,吃饭,12.0,微信余额,,auto
2024年11月28日 08:33:00,支出,餐饮,吃饭,9.9,微信余额,,auto
2024年11月28日 20:15:56,支出,餐饮,饮料,16.5,建行1977,,auto
2024年11月29日 08:25:44,支出,餐饮,吃饭,12.0,微信余额,,auto
2024年11月29日 17:55:44,支出,娱乐,网吧,99.0,建行1977,,auto
2024年11月29日 18:12:20,支出,餐饮,吃饭,24.0,微信余额,,auto
2024年11月29日 21:26:34,支出,交通,交通费,8.5,建行2109,,auto
2024年11月30日 14:06:23,支出,餐饮,饮料,21.5,建行1977,,auto
2024年11月30日 16:21:53,支出,娱乐,网吧,6.0,建行1977,,auto
2024年12月01日 17:06:32,支出,餐饮,零食,201.0,微信余额,辣椒粑,auto
2024年12月02日 08:28:57,支出,餐饮,吃饭,21.5,微信余额,,auto
2024年12月02日 12:47:08,支出,餐饮,吃饭,20.0,微信余额,,auto
2024年12月02日 12:47:19,支出,餐饮,饮料,16.5,建行1977,,auto
2024年12月03日 08:11:00,支出,餐饮,吃饭,9.6,微信余额,,auto
2024年12月03日 12:12:00,支出,餐饮,吃饭,10.0,微信余额,,auto
2024年12月03日 18:12:13,支出,餐饮,饮料,14.0,建行1977,,auto
2024年12月03日 18:12:38,收入,其他,红包,4000.0,建行2109,爸爸,auto
2024年12月03日 18:13:07,收入,工作,公积金,3662.0,建行1977,,auto
2024年12月03日 18:13:51,支出,订阅,通讯,100.0,建行2109,,auto
2024年12月03日 22:19:25,支出,餐饮,零食,7.0,微信余额,,auto
2024年12月04日 16:21:33,支出,餐饮,饮料,6.0,建行1977,,auto
2024年12月04日 18:14:04,支出,餐饮,饮料,40.0,建行1977,,auto
2024年12月05日 12:24:32,支出,餐饮,吃饭,16.0,微信余额,,auto
2024年12月06日 08:31:36,支出,餐饮,吃饭,9.6,微信余额,,auto
2024年12月06日 12:12:30,支出,餐饮,吃饭,16.0,微信余额,,auto
2024年12月06日 12:17:38,支出,餐饮,饮料,16.5,建行1977,,auto
2024年12月06日 12:21:27,支出,购物,数码,13827.2,建行1977,MacBook Pro,auto
2024年12月06日 14:26:50,支出,住房,房贷,445.0,建行2109,物业,auto
2024年12月07日 09:32:32,支出,住房,房贷,4569.0,建行2109,,auto
2024年12月07日 21:36:47,支出,餐饮,饮料,16.0,建行1977,,auto
2024年12月08日 19:58:44,支出,餐饮,零食,20.4,微信余额,,auto
2024年12月08日 21:24:01,支出,娱乐,电影,40.0,微信余额,,auto
2024年12月08日 21:39:47,支出,住房,房贷,370.6,建行2109,电费,auto
2024年12月09日 14:59:46,支出,住房,房贷,1400.34,建行2109,房贷,auto
2024年12月10日 08:39:17,支出,餐饮,吃饭,12.0,微信余额,,auto
2024年12月11日 08:55:00,支出,餐饮,吃饭,9.6,微信余额,,auto
2024年12月11日 12:19:40,支出,餐饮,吃饭,35.0,微信余额,,auto
2024年12月11日 12:22:45,支出,餐饮,饮料,16.5,建行1977,,auto
2024年12月12日 08:33:48,支出,餐饮,吃饭,12.0,微信余额,,auto
2024年12月12日 12:30:14,支出,餐饮,吃饭,61.0,微信余额,,auto
2024年12月12日 13:27:38,收入,内部流转,退款,1000.0,建行1977,装修费,待确认-退款
2024年12月12日 20:48:44,支出,餐饮,吃饭,24.0,微信余额,,auto
2024年12月13日 11:59:10,支出,餐饮,吃饭,10.6,微信余额,,auto
2024年12月13日 12:31:54,支出,娱乐,网吧,182.0,建行1977,,auto
2024年12月13日 16:12:48,支出,餐饮,饮料,18.0,建行1977,,auto
2024年12月14日 13:54:23,支出,餐饮,饮料,16.5,建行1977,,auto
2024年12月14日 20:27:05,支出,购物,日用,130.0,建行1977,,auto
2024年12月15日 22:47:08,支出,购物,玩具,13.0,建行1977,,auto
2024年12月15日 22:47:21,支出,生活,理发,75.0,微信余额,,auto
2024年12月16日 09:28:17,支出,餐饮,吃饭,11.4,微信余额,,auto
2024年12月16日 12:23:50,支出,餐饮,吃饭,19.45,建行1977,,auto
2024年12月17日 08:35:49,支出,餐饮,吃饭,17.5,建行1977,,auto
2024年12月18日 12:32:41,支出,餐饮,吃饭,16.0,建行1977,,auto
2024年12月18日 12:34:15,支出,餐饮,饮料,16.5,建行1977,,auto
2024年12月18日 16:57:46,收入,工作,工资,2829.0,建行1977,,auto
2024年12月19日 00:55:32,支出,购物,日用,74.0,建行1977,鱼缸水泵,auto
2024年12月19日 12:36:52,支出,餐饮,吃饭,32.0,建行1977,,auto
2024年12月19日 15:02:20,支出,餐饮,饮料,24.5,建行1977,,auto
2024年12月19日 16:31:49,收入,工作,工资,900.0,建行1977,话费报销,auto
2024年12月20日 16:53:09,收入,工作,绩效,4469.0,建行1977,,auto
2024年12月22日 12:00:29,支出,购物,日用,70.0,建行1977,虾蟹,auto
2024年12月22日 20:19:40,支出,餐饮,零食,64.29,建行2109,,auto
2024年12月23日 08:38:02,支出,餐饮,吃饭,9.6,微信余额,,auto
2024年12月23日 09:09:49,支出,订阅,通讯,100.0,建行1977,4309,auto
2024年12月23日 12:05:21,支出,餐饮,饮料,16.5,建行1977,,auto
2024年12月24日 08:40:07,支出,餐饮,吃饭,15.6,微信余额,,auto
2024年12月24日 12:50:11,支出,餐饮,饮料,16.5,建行1977,,auto
2024年12月25日 19:20:23,支出,餐饮,饮料,21.5,建行1977,,auto
2024年12月25日 19:20:33,支出,餐饮,吃饭,3.5,微信余额,,auto
2024年12月25日 19:20:59,收入,工作,绩效,2342.0,建行1977,4季度补发,auto
